Date,Total15,Total20,Total25,pseudoWindSpeedMPH
2012-12-01,0,0,0,0
2012-12-02,98,39,0,20
2012-12-03,103,0,0,15
2012-12-04,85,0,0,15
2012-12-05,0,0,0,0
2012-12-06,0,0,0,0
2012-12-07,0,0,0,0
2012-12-13,100,0,0,15
2012-12-14,29,0,0,15
2012-12-15,30,0,0,15
2012-12-16,36,0,0,15
2012-12-17,0,0,0,0
2012-12-18,37,0,0,15
2012-12-19,0,0,0,0
2012-12-20,34,0,0,15
2012-12-21,287,272,28,25
2012-12-22,241,0,0,15
2012-12-23,49,0,0,15
2012-12-24,28,0,0,15
2012-12-25,0,0,0,0
2012-12-26,121,26,0,20
2012-12-27,67,0,0,15
2012-12-28,0,0,0,0
2012-12-29,121,108,82,25
2012-12-30,242,0,0,15
2012-12-31,108,0,0,15
